date,steps,distance,runDistance,calories
2022-10-20,6664,5002,187,176
2022-10-21,6927,5136,309,182
2022-10-22,9035,6847,238,240
2022-10-23,1840,1265,219,51
2022-10-24,8066,5994,225,209
2022-10-25,4875,3586,234,129
2022-10-26,4960,3669,166,130
2022-10-27,7672,5740,257,205
2022-10-28,6576,5142,180,186
2022-10-29,12868,9501,245,335
2022-10-30,7312,5513,200,195
2022-10-31,8322,6153,581,224
2022-11-01,8348,6344,198,226
2022-11-02,6907,5266,138,186
2022-11-03,6180,4837,162,173
2022-11-04,13733,10272,201,365
2022-11-05,1795,1254,219,56
2022-11-06,13206,9297,402,323
2022-11-07,13434,10087,165,339
2022-11-08,9437,7044,633,245
2022-11-09,6078,4532,175,156
2022-11-10,4362,3342,111,123
2022-11-11,4817,3569,196,126
2022-11-12,11416,8399,250,296
2022-11-13,6657,4835,167,177
2022-11-14,7602,5700,464,197
2022-11-15,9059,6815,289,235
2022-11-16,9272,6930,283,239
2022-11-17,7327,5461,353,192
2022-11-18,7889,6038,550,217
2022-11-19,9347,6575,209,228
2022-11-20,4510,3526,169,124
2022-11-21,6588,5160,187,177
2022-11-22,10948,8231,281,283
2022-11-23,7759,6126,116,218
2022-11-24,4050,3126,171,112
2022-11-25,8233,5989,228,214
2022-11-26,13577,10134,522,349
2022-11-27,9641,7396,136,260
2022-11-28,11844,9118,577,328
2022-11-29,11509,8534,735,303
2022-11-30,11221,8378,674,294
2022-12-01,9559,7479,712,278
2022-12-02,8633,6391,246,226
2022-12-03,6839,5164,748,194
2022-12-04,2494,1756,226,70
2022-12-05,12119,9169,756,327
2022-12-06,7952,6083,874,230
2022-12-07,7556,5638,245,197
2022-12-08,7440,5719,897,222
2022-12-09,11823,9020,451,319
2022-12-10,2565,1757,188,69
2022-12-11,2159,1509,250,58
2022-12-12,1512,1034,113,38
2022-12-13,10282,7871,738,284
2022-12-14,6425,5050,857,203
2022-12-15,6383,4971,206,178
2022-12-16,833,572,160,28
2022-12-17,15903,11853,461,409
2022-12-18,9154,6832,352,241
2022-12-19,7159,5589,1039,216
2022-12-20,8361,6241,1090,230
2022-12-21,10981,8438,755,307
2022-12-22,4347,3542,1436,160
2022-12-23,891,610,96,25
2022-12-24,7241,5566,237,194
2022-12-25,1257,860,201,37
2022-12-26,1555,1064,145,43
2022-12-27,5859,4640,221,168
2022-12-28,2223,1574,130,57
2022-12-29,7060,5518,873,213
2022-12-30,14743,10745,530,383
2022-12-31,11518,8244,234,282
2023-01-01,8509,6400,191,228
2023-01-02,7263,5639,218,201
2023-01-03,11068,8575,802,312
2023-01-04,10249,7938,221,284
2023-01-05,24843,18285,399,636
2023-01-06,10161,7643,574,272
2023-01-07,17923,13253,543,456
2023-01-08,15748,11988,303,421
2023-01-09,9403,7108,881,260
2023-01-10,9302,6778,220,224
2023-01-11,7467,5738,767,221
2023-01-12,7046,5526,1119,208
2023-01-13,7989,6162,894,231
2023-01-14,11268,8365,245,292
2023-01-15,6270,4931,184,182
2023-01-16,1919,1321,133,52
2023-01-17,11460,8681,145,298
2023-01-18,7813,5979,625,213
2023-01-19,5167,3950,185,140
